job_profile;execute_job_profile;edit_job_profile;
csv_footwear_association_type_export;All;All;
csv_footwear_attribute_export;All;All;
csv_footwear_category_export;All;All;
csv_footwear_group_export;All;All;
csv_footwear_variant_group_export;All;All;
csv_footwear_option_export;All;All;
csv_footwear_product_export;All;All;
csv_footwear_family_export;All;All;
csv_footwear_association_type_import;All;All;
csv_footwear_attribute_import;All;All;
csv_footwear_category_import;All;All;
csv_footwear_group_import;All;All;
csv_footwear_variant_group_import;All;All;
csv_footwear_option_import;All;All;
csv_footwear_product_import;All;All;
csv_footwear_family_import;All;All;
add_product_value;All;
add_product_value_with_permission;All;
add_product_value_with_permission_and_rules;All;
update_product_value;All;
update_product_value_with_permission;All;
update_product_value_with_permission_and_rules;All;
remove_product_value;All;
remove_product_value_with_permission;All;
remove_product_value_with_permission_and_rules;All;
publish_product;All;
unpublish_product;All;
edit_common_attributes;All;
edit_common_attributes_with_permission;All;
edit_common_attributes_with_permission_and_rules;All;
add_to_variant_group;All;
add_to_variant_group_with_rules;All;
set_attribute_requirements;All;
csv_product_quick_export;All;
csv_published_product_quick_export;All;
rule_impacted_product_count;All;
xlsx_footwear_product_import;All;All;
xlsx_footwear_product_import_fr;All;All;
xlsx_footwear_group_import;All;All;
xlsx_footwear_variant_group_import;All;All;
xlsx_footwear_category_import;All;All;
xlsx_footwear_association_type_import;All;All;
xlsx_footwear_attribute_import;All;All;
xlsx_footwear_option_import;All;All;
xlsx_footwear_family_import;All;All;
xlsx_product_quick_export;All;
xlsx_published_product_quick_export;All;
xlsx_footwear_association_type_export;All;All;
xlsx_footwear_attribute_export;All;All;
xlsx_footwear_category_export;All;All;
xlsx_footwear_option_export;All;All;
xlsx_footwear_family_export;All;All;
csv_product_grid_context_quick_export;All;
csv_published_product_grid_context_quick_export;All;
xlsx_product_grid_context_quick_export;All;
xlsx_published_product_grid_context_quick_export;All;
classify_assets;All;
add_tags_to_assets;All;
csv_footwear_currency_export;All;All
csv_footwear_channel_export;All;All
csv_footwear_locale_export;All;All
csv_footwear_group_type_export;All;All
csv_footwear_attribute_group_export;All;All
csv_footwear_currency_import;All;All
csv_footwear_channel_import;All;All
csv_footwear_locale_import;All;All
csv_footwear_group_type_import;All;All
csv_footwear_attribute_group_import;All;All
xlsx_footwear_currency_import;All;All
xlsx_footwear_channel_import;All;All
xlsx_footwear_locale_import;All;All
xlsx_footwear_group_type_import;All;All
xlsx_footwear_attribute_group_import;All;All
xlsx_footwear_channel_export;All;All
xlsx_footwear_currency_export;All;All
xlsx_footwear_locale_export;All;All
xlsx_footwear_group_type_export;All;All
xlsx_footwear_attribute_group_export;All;All
project_calculation;All;All
